reparticion,rubro,total
Ministerio De Educacion,Alimentación y Gastronomía,425755.0733698
Agencia Sistemas De Informacion,Informática ,365762.447253133
Dir.Gral.De Compras Y Contrataciones,Informática ,163308.9833197
Ministerio De Salud,Salud,34957.52468326
Plan De Seguridad  Publica,Seguridad ,27171.08480195
Plan De Seguridad  Publica,Informática ,25837.1261403
Plan De Seguridad  Publica,Salud,15107.143414400001
Plan De Seguridad  Publica,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,10599.7918941
Htal. Ricardo Gutierrez,Salud,7255.38355201
Htal.Donacion Francisco Santojanni,Salud,5885.6866612
Htal. Juan A. Fernandez,Salud,5717.5937509000005
Dir.Gral.De Compras Y Contrataciones,Vehículos,5539.7096255
Ministerio De Espacio Publico E Higiene Urbana,Perfumería Limpieza y Contenedores Comerciales e Industriales,4956.720436629999
Dir.Gral.De Compras Y Contrataciones,Muebles,4496.8177141
Htal. Jose M.Ramos Mejia,Salud,4444.386779855
Htal. Cosme Argerich,Salud,4188.0134326
Htal. Carlos G. Durand,Salud,3374.4298258
Upe Ecoparque Interactivo De La Caba,Alimentación y Gastronomía,2957.6883588
Htal. Ignacio Pirovano,Salud,2789.7444644
Plan De Seguridad  Publica,Textil Confección y Calzado ,2718.2450655000002
Ministerio De Educacion,Informática ,2618.94115
Administ. Gubernamental De Ingresos Publicos,Informática ,2488.6897789649997
Jefatura De Gabinete De Ministros,Servicios,2423.376973
Ministerio Desarrollo Humano Y Hábitat,Reservado para GCBA ,2241.9107074
Htal. Pedro De Elizalde,Salud,2235.08672133
Htal. Parmenio Piñero,Salud,2187.9455979
Htal. Francisco J.Muñiz,Salud,2119.4234997
Dir.Gral.De Compras Y Contrataciones,Construcción ,2064.670332574
Upe Ecoparque Interactivo De La Caba,Construcción ,2012.9126683999998
Htal. Jose M. Penna,Salud,1849.71184835
Htal.Teodoro Alvarez,Salud,1711.1033658000001
Ministerio De Educacion,Cultura Deporte y Recreación,1700.9782153
Htal. Bernardino Rivadavia,Salud,1687.5119063
Secretaria Legal Y Tecnica,Servicios,1451.2520798
Htal. Ramon Sarda,Salud,1413.39851106
Ministerio De Educacion,Vehículos,1333.255464
Ministerio Desarrollo Humano Y Hábitat,Construcción ,1313.0862048
Htal. Maria Curie,Salud,1167.783556
Jefatura De Gabinete De Ministros,Vehículos,1017.39134
Ministerio De Espacio Publico E Higiene Urbana,Servicios,1013.5729792999999
Upe Urbanizacion Barrio Padre Carlos Mugica,Perfumería Limpieza y Contenedores Comerciales e Industriales,963.1552664
Htal. Bonorino Udaondo,Salud,934.13108076
Secretaría De Transporte Y Obras Públicas,Servicios,925.8311017
Secretaria Legal Y Tecnica,Artes Gráficas Duplicación y Equipamiento para Impresión ,877.6400000000001
Cai Cecilia Grierson,Salud,853.2968392
Dir.Gral.De Compras Y Contrataciones,Perfumería Limpieza y Contenedores Comerciales e Industriales,848.2132621000001
Dir.Gral.De Compras Y Contrataciones,Servicios,819.999759
Htal. Abel Zubizarreta,Salud,811.7640202
Htal. Enrique Tornu,Salud,792.9500616
Jefatura De Gabinete De Ministros,Informática ,779.25202
Ministerio De Salud,Construcción ,744.1519159
D.G. Unidad Informatica De Admin. Fin,Informática ,720.32928
Ministerio De Salud,Seguridad ,711.0818517
Instituto Superior De Seguridad Publica,Seguridad ,703.741
Dir.Gral.De Compras Y Contrataciones,Alimentación y Gastronomía,629.96184042
Htal. Dalmacio Velez Sarsfield,Salud,591.77734227
Plan De Seguridad  Publica,Construcción ,567.0722941
Ministerio De Salud,Vehículos,555.44386
Ministerio De Espacio Publico E Higiene Urbana,Construcción ,555.09
Upe Ecoparque Interactivo De La Caba,Reservado para GCBA ,506.6431097
Secretaria Legal Y Tecnica,Equipamiento para Oficina,503.0061
Upe Urbanizacion Barrio Padre Carlos Mugica,Construcción ,498.88771760000003
Ministerio De Salud,Informática ,452.29102
Htal. Maria Ferrer,Salud,419.2629903
Ministerio De Educacion,Servicios,416.2822139
Secretaria Legal Y Tecnica,Informática ,413.882
Agencia Gubernamental De Control,Informática ,413.5444
Ministerio De Educacion,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,403.4364
Ente De Turismo,Servicios,401.04197427
Agencia Sistemas De Informacion,Artes Gráficas Duplicación y Equipamiento para Impresión ,385.7167
Ministerio De Educacion,Máquinas y Herramientas,370.55375
Secretaria Legal Y Tecnica,Promoción y Publicidad ,329.19924
Instituto De Rehabilitacion Psicofica,Salud,327.6601902
Ministerio De Cultura,Vehículos,311.3936604
Agencia Sistemas De Informacion,Construcción ,306.47904
Htal. Santa Lucia,Salud,302.837535
Htal. Jose T. Borda,Salud,276.677035
Plan De Seguridad  Publica,Agricultura Ganadería y Espacios Verdes,274.4
Plan De Seguridad  Publica,Perfumería Limpieza y Contenedores Comerciales e Industriales,271.4202358
Secretaria De Deportes,Salud,268.0024039
Ministerio De Educacion,Muebles,254.1255248
Ministerio De Desarrollo Económico Y Producción,Servicios,245.76444700000002
Dir.Gral.Patrimonio Museos Y Casco Historico,Servicios,230.0
Ministerio De Educacion,Construcción ,228.0124856
D.G. Unidad Informatica De Admin. Fin,Servicios,198.331638
Ministerio De Desarrollo Económico Y Producción,Construcción ,187.782962325
Htal. De Quemados,Salud,172.83695790000002
Upe Ecoparque Interactivo De La Caba,Salud,168.488227074
Htal. Braulio Moyano,Salud,168.4017733
Unidad De Proyectos Especiales Museo De Arte Moderno (Upemam),Construcción ,166.383256
Ministerio De Desarrollo Económico Y Producción,Cultura Deporte y Recreación,165.74997
Secretaría De Transporte Y Obras Públicas,Seguridad ,156.47169
Ministerio De Educacion,Comunicaciones,155.3856955
Ente De Turismo,Vehículos,141.92439000000002
Ministerio De Educacion,Electricidad y Electrónica,133.5187
Ente Autarquico Instituto De Transplante,Salud,131.70161489999998
Dir.Gral. De Festivales Y Eventos Centrales,Cultura Deporte y Recreación,129.498
Ente De Mantenimiento Urbano Integral,Construcción ,127.8901918
Htal. Odontologico Jose Dueñas,Salud,126.63990820000001
Ministerio De Desarrollo Económico Y Producción,Informática ,125.5069127
Secretaria Legal Y Tecnica,Electricidad y Electrónica,121.968
Dir.Gral. De Festivales Y Eventos Centrales,Comunicaciones,116.01655
Ente Autarquico Teatro Colon,Textil Confección y Calzado ,113.5001323
Secretaria Legal Y Tecnica,Cultura Deporte y Recreación,112.7599605
Secretaria Legal Y Tecnica,Construcción ,112.35
Agencia Ambiental,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,107.0735825
Ente Autarquico Teatro Colon,Ferretería,106.648613
Dir.Gral.De Compras Y Contrataciones,Artes Gráficas Duplicación y Equipamiento para Impresión ,106.56157449999999
Ente Autarquico Teatro Colon,Construcción ,90.2998415
Ministerio De Salud,Equipamiento para Oficina,87.9375
Ministerio De Cultura,Muebles,86.946338
Ente Autarquico Teatro Colon,Perfumería Limpieza y Contenedores Comerciales e Industriales,86.2286036
Ministerio De Cultura,Servicios,85.08515
Htal. Manuel Rocca,Salud,83.6007407
Ministerio De Educacion,Equipamiento para Oficina,81.12402
Instituto Pasteur,Salud,79.1949737
Ministerio De Salud,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,77.97661
Ministerio Desarrollo Humano Y Hábitat,Muebles,69.86992000000001
Dir. Gral Centro Cultural General San Martin,Servicios,68.9
Dir.Gral.De Compras Y Contrataciones,Seguridad ,68.8773326
Direccion General De Estadisticas Y Censos,Alimentación y Gastronomía,66.13338
D.G.Gestiòn De La Flota Automotor,Vehículos,65.5698933
Secretaría De Transporte Y Obras Públicas,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,61.61803999999999
Ministerio De Educacion,Salud,61.22985
Htal. Ramon Sarda,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,60.814530000000005
Htal.De Odontologia,Salud,58.590854300000004
Direccion General Promocion Del Libro Bibiliotecas Y La Cultura,Construcción ,55.739092299999996
Htal. Pedro Lagleyze,Salud,55.3671035
Secretaría De Transporte Y Obras Públicas,Cultura Deporte y Recreación,55.1984218
Ministerio de Gobierno,Vehículos,54.95
Upe Urbanizacion Barrio Padre Carlos Mugica,Reservado para GCBA ,54.8632842
Htal. Bernardino Rivadavia,Muebles,54.81341
Comuna 5,Perfumería Limpieza y Contenedores Comerciales e Industriales,53.375982400000005
Comuna 5,Construcción ,53.375982400000005
Jefatura De Gabinete De Ministros,Alimentación y Gastronomía,52.2021
Htal. Bonorino Udaondo,Perfumería Limpieza y Contenedores Comerciales e Industriales,51.921
Upe Ecoparque Interactivo De La Caba,Perfumería Limpieza y Contenedores Comerciales e Industriales,51.286500000000004
Htal. Carlos G. Durand,Construcción ,45.8962594
Plan De Seguridad  Publica,Máquinas y Herramientas,45.421563500000005
Ministerio de Gobierno,Servicios,45.18
Agencia Gubernamental De Control,Seguridad ,45.0577
Ente De Mantenimiento Urbano Integral,Máquinas y Herramientas,43.56
Administ. Gubernamental De Ingresos Publicos,Servicios,42.1494388
Subsecretaria De Asuntos Publicos Estrategicos,Servicios,41.503
